username;date;text
TataPower;2017-01-03 21:19;"@swapanranawr to process refund (if any) through NEFT/RTGS. For any further query, please feel free to contact our (3/4)"
TataPower;2017-01-03 21:19;"@swapanranawr We appreciate your patience in the interim. Also request you to provide us with a copy of the cheque in order (2/4)"
TataPower;2017-01-03 21:17;"Dear @swapanranawr as discussed, while the timeline to process the request is 30 days, we are endeavoring to expedite the same. (1/4)"
swapanranawr;2017-01-02 15:01;"@TataPower it is my request please do the needful as early as possible."
swapanranawr;2017-01-02 15:00;"@TataPower I am lossing near about Rs.13000/- PM.Please disconnect the electricity line as soon as possible. I got transfered to Kolkata"
swapanranawr;2017-01-02 14:58;"@TataPower my reference P.O request no. 5001638923, please do the needful as early as possible because i am lossing My House Rent allowance"
TataPower;2017-01-09 15:40;"@nasiransari7140 Contact no. for us to look into the issue on priority. (2/2)"
TataPower;2017-01-09 15:40;"Dear @nasiransari7140 , We request you to kindly provide us with your Tata Power Consumer no. & (1/2)"
nasiransari7140;2017-01-07 17:18;"#Electricity problem in Bandra East has become a pain #noelectricity every other day hats off to @reliancegroup and @TataPower"
TataPower;2017-01-09 15:40;"@nasiransari7140 Contact no. for us to look into the issue on priority. (2/2)"
TataPower;2017-01-09 15:40;"Dear @nasiransari7140 , We request you to kindly provide us with your Tata Power Consumer no. & (1/2)"
nasiransari7140;2017-01-07 17:18;"#Electricity problem in Bandra East has become a pain #noelectricity every other day hats off to @reliancegroup and @TataPower"
TataPower;2017-01-05 21:07;"@hvnk & our customer relations team will contact you to discuss further. (2/2)"
TataPower;2017-01-05 21:06;"Dear @hvnk , As communicated earlier, request you to kindly share your Tata Power Consumer no., contact details (1/2)"
TataPower;2017-01-04 18:45;"Consumer no., contact details and our customer relations team will contact you to discuss further. @hvnk (2/2)"
TataPower;2017-01-04 18:44;"Dear @hvnk We sincerely regret the unintended inconvenience caused to you. We request you to kindly share your Tata Power (1/2)"
hvnk;2017-01-04 14:18;"@TataPower your competitors already add any additional deposit amount to the next bill so that people with auto pay don't have 2 do anything"
