username;date;text;mentions;hashtags;id
;2017-03-31 00:54;"Just to clarify: you want to hide the profile pictures of your contacts? Because that is not possible :(";;;"847492336976318464"
;2017-03-31 00:54;"Done that, I uninstalled and reinstalled and still not working! I'm using Wifi.";;;"847492159552880640"
;2017-03-31 00:52;"Please try uninstalling Skype, restarting your device, and logging in again. Are you on WiFi or 3G/4G?";;;"847491839405899776"
;2017-03-31 00:49;"Hi there! Are you still unable to make calls via your browser? We may have been doing some maintenance yesterday.";;;"847490857750020098"
;2017-03-31 00:48;"how can i get back into my account please so i don't have to create a new one?";;;"847490807502217216"
;2017-03-31 00:48;"If you can log in, our agents are here to chat with you: http:// sk.ype.ms/fcgWqF ? What is the issue though?";;;"847490607622651904"
;2017-03-31 00:47;"and email sent to skype help address i found in old web article was returned saying 'this is an unmonitored email queue'";;;"847490561430798336"
;2017-03-31 00:46;". @SkypeSupport this is the third account attempt. Please help";@SkypeSupport;;"847490325828345856"
;2017-03-31 00:46;"i can't get chat support because can't log into account";;;"847490221805510657"
;2017-03-31 00:46;"We are very sorry to hear that. What seems to be the issue? Is this related to credit or a subscription?";;;"847490209788723200"
;2017-03-31 00:46;". @SkypeSupport @skype whenever I try to log in I keep getting this message. The connection is perfectly fine! pic.twitter.com/Tg4vfItZdU";@SkypeSupport @skype;;"847490100736831489"
;2017-03-31 00:45;"@SkypeSupport I am not getting the recovery code email and can't access account - email and pw are correct but code not coming to me - HELP?";@SkypeSupport;;"847490034080952320"
;2017-03-31 00:45;"Does this happen with all of your contacts, or just a specific one/few? What is your platform, OS, and Skype version number?";;;"847489851112828928"
;2017-03-31 00:44;"@SkypeSupport I can't express the full range of my emotions with your tiny set of emoticons you haven't updated in 15 years";@SkypeSupport;;"847489688558379008"
;2017-03-31 00:33;"Hi there. Can you please share with us a screenshot so we understand a little better the thumbnails you are referring to?";;;"847486832979791872"
;2017-03-30 23:55;"@SkypeSupport I'm not receiving any of lost password verification mails you say you've sent! Can't answer enough Qs for other method. Great";@SkypeSupport;;"847477355299733511"
;2017-03-30 23:14;"Um... why have all my @Skype contacts disappeared from my contacts list? Have tried logging out & back in. Other ideas, @SkypeSupport ? Thks!";@Skype @SkypeSupport;;"847466994991374336"
;2017-03-30 22:44;"@SkypeSupport HELP! I have been trying to change my Skype username for 3 hours :( I can't see an option to change it. pic.twitter.com/UIGhIt69z5";@SkypeSupport;;"847459576626544642"
;2017-03-30 22:14;"Currently more angry that @SkypeSupport in @Office365 Calendar doesn't support shift+arrows to select text than anything in politics.";@SkypeSupport @Office365;;"847451866195664897"
;2017-03-30 21:52;"@SkypeSupport hi. need some 1-on-1 help as account was compromised and we already tried to recover it with your online tool without help.";@SkypeSupport;;"847446346864902144"
;2017-03-30 21:43;"@SkypeSupport been trying to skype on my samsung 6, we are able to chat message but when we try video it rings but no video???";@SkypeSupport;;"847444063301259265"
;2017-03-30 20:08;"@SkypeSupport Will you solve the Baidu links issue? I did everything I can to improve security on my account. Next step deleting the account";@SkypeSupport;;"847420368197255169"
;2017-03-30 19:10;"@SkypeSupport o namoral vai tomaar no cu a porra do meu skype nao q abrir desde ontem o namoral vsfd";@SkypeSupport;;"847405676963831808"
;2017-03-30 16:33;"Putain mais niquez vous @SkypeSupport j'ai jamais vu un logiciel aussi mal foutu que votre truc";@SkypeSupport;;"847366067101904896"
;2017-03-30 16:08;"@SkypeSupport my calls keep on dropping after a minute. internet connection is not the problem";@SkypeSupport;;"847359982529945601"
;2017-03-30 15:07;"@GoogleRussia @SkypeSupport @GooglePlay @RusMicrosoft И ПОСЛЕ ЭТОГО , ВЫ УТВЕРЖДАЕТЕ,ЧТО У ВАС АКТУАЛЬНОЕ ПО ? ! pic.twitter.com/tE8fBiSahk";@GoogleRussia @SkypeSupport @GooglePlay @RusMicrosoft;;"847344631457107969"
;2017-03-30 11:43;"@SkypeSupport HELP I NEEEED to actually SPEAK to someone. My Skype was hacked and I can't recover it? I can't deal with this & need a person";@SkypeSupport;;"847293101043470338"
;2017-03-30 11:21;"@SkypeSupport calls just say connecting for both parties/wont ring or show calls until you close and reopen Skype";@SkypeSupport;;"847287762948472834"
;2017-03-30 10:21;"@briankrebs And, of course, when contacting @SkypeSupport they claim it's some other virus on my computer, not their ad network.";@briankrebs @SkypeSupport;;"847272551332028417"
;2017-03-30 09:46;"also, I'm getting group messages just fine which is odd. Are there any solutions to resolving the problem?";;;"847263645679501313"
;2017-03-30 09:41;"Fix your mobile app, I'm getting IMs an hour late. @Skype @SkypeSupport";@Skype @SkypeSupport;;"847262389217116161"
;2017-03-30 09:40;"@SkypeSupport I was told everything was fine.But when i logged in to Skype and tried calling again I found the problem was unresolved";@SkypeSupport;;"847262119359725569"
;2017-03-30 09:39;"@SkypeSupport Dear Sir/mdm, I ahve been restricted from making paid calls on my Skype app.I followed your instructions to recover my account";@SkypeSupport;;"847261956184526849"
;2017-03-30 08:44;"Did you see my last tweet? Is there any way to contact a real person @Skype or is it only robots and websites these days? Thnx";@Skype;;"847248103174397952"
